0-9 y/o % of total pop,10-19 y/o % of total pop,20-29 y/o % of total pop,30-39 y/o % of total pop,40-49 y/o % of total pop,50-59 y/o % of total pop,80+ y/o % of total pop,% White-alone,Black-alone pop,% Black-alone,Native American/American Indian-alone pop,% NA/AI-alone,Asian-alone pop,% Asian-alone,Hawaiian/Pacific Islander-alone pop,% Hawaiian/PI-alone,% Two or more races,N_POP_CHG_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_NET_MIG_2018,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,PCTPOV517_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Percent of Population Aged 60+,COUNTY_NAME,STATE_NAME,CNTY_FIPS,anycondition_Upper 95% CI,Obesity_Upper 95% CI,Heart disease_Upper 95% CI,Heart disease_number,COPD_Upper 95% CI,CKD_Upper 95% CI,CKD_number,Urban_rural_code,COUNTY_NAME_N,STATE_NAME_N
10.69679849,11.78154426,11.62335217,10.96045198,12.08286252,14.99811676,5.16007533,83.20903955,1868,14.07156309,72,0.542372881,32,0.241054614,0,0.0,1.935969868,-92,9.6,13.3,-3.7,-0.1,-3.2,24.5,36.3,29.1,10.2,25.0,3.9,39201,78.6,71.2,6.9,26.0,Clay,Alabama,27,54.6,37.4,11.6,1117,13.8,4.3,418,6,13,0
12.20391006,12.71101621,11.25642223,11.10962834,12.87782745,14.0988857,4.330419697,94.97564556,441,2.94255021,74,0.49376126,33,0.220190832,11,0.073396944,1.294455195,81,11.2,13.2,-2.1,-0.5,7.6,22.6,39.6,24.1,13.7,22.9,4.2,46495,93.2,71.2,6.9,24.7,Cleburne,Alabama,29,53.7,38.8,10.9,1146,13.2,3.9,416,6,14,0
12.72419041,13.15378836,12.15974109,12.68758789,13.28478684,12.83399796,4.043614787,75.84041303,9192,17.70791192,732,1.410160088,849,1.635554528,206,0.396848331,3.0091121,132,12.6,10.4,2.1,0.3,0.4,13.8,27.9,34.9,23.4,20.1,3.9,55122,110.5,71.2,6.9,21.6,Coffee,Alabama,31,53.8,37.4,9.0,3258,10.3,3.5,1302,5,15,0
11.40937146,11.53719733,12.43745663,11.73076221,12.17267448,13.71023703,4.839122019,80.59968591,8875,16.20649355,363,0.662868412,323,0.589825061,41,0.074869435,1.866257624,253,11.2,12.5,-1.4,0.1,6.0,15.6,36.0,29.7,18.7,19.3,4.6,49055,98.3,71.2,6.9,25.8,Colbert,Alabama,33,56.4,39.6,10.3,4065,11.8,3.8,1542,4,16,0
11.13464201,11.68037794,11.48489045,10.26309359,10.87399202,14.2868779,5.563248351,51.63313513,5680,46.26537428,63,0.51315468,26,0.211778122,4,0.032581249,1.343976542,-158,10.2,14.8,-4.6,0.1,-8.2,19.2,48.8,21.3,10.7,38.9,5.2,32613,65.4,71.2,6.9,28.0,Conecuh,Alabama,35,60.9,44.5,12.6,1139,14.0,5.1,464,6,17,0
8.66075595,9.547363509,10.87260849,9.594027065,12.86980868,16.33224452,5.216985534,66.88754083,3309,30.8819412,64,0.597293514,15,0.139990667,18,0.167988801,1.325244984,-42,8.4,11.4,-3.0,1.3,-0.8,20.4,38.6,29.5,11.6,30.5,4.2,42423,85.0,71.2,6.9,28.7,Coosa,Alabama,37,59.0,42.6,12.1,997,13.5,4.6,385,5,18,0
11.99913481,11.88828205,11.32049965,11.06905316,11.29616612,13.899854,5.423673823,84.54279998,4664,12.61017682,256,0.692153788,172,0.465040826,4,0.010814903,1.679013681,-92,11.5,14.5,-3.0,-0.1,0.6,17.1,35.4,32.5,14.9,30.2,4.6,40203,80.6,71.2,6.9,27.4,Covington,Alabama,39,53.7,39.3,11.3,2983,12.7,4.1,1096,6,19,0
12.16724537,12.76041667,11.92853009,11.26302083,11.9212963,13.83825231,4.35474537,72.78645833,3244,23.46643519,87,0.629340278,155,1.121238426,6,0.043402778,1.953125,-37,10.2,13.1,-2.9,-0.1,0.2,21.6,38.8,24.0,15.6,29.3,4.1,39057,78.3,71.2,6.9,24.3,Crenshaw,Alabama,41,54.6,38.1,10.7,1050,12.6,4.1,411,6,20,0
12.31514106,12.29117231,12.45056446,11.89568802,12.38584885,13.46324393,4.018360058,95.85700247,1116,1.337455957,539,0.645957671,561,0.67232329,72,0.086287481,1.400973131,606,11.8,12.5,-0.7,0.3,8.1,18.2,35.6,32.4,13.7,19.8,3.3,45796,91.8,71.2,6.9,24.1,Cullman,Alabama,43,50.7,35.0,10.1,5947,12.5,3.7,2195,5,21,0
13.04436637,12.08840592,14.32510826,12.89321023,11.61859629,12.70937168,3.911675791,73.77849498,10262,20.96167988,392,0.800719013,695,1.419642128,104,0.212435657,2.827028352,-298,13.3,11.2,2.0,-0.7,-8.1,14.2,32.7,36.1,17.0,24.4,4.2,45309,90.8,71.2,6.9,21.3,Dale,Alabama,45,55.4,44.7,9.4,3257,10.8,3.7,1294,5,22,0
